line_text,category,style,context,stage,target_gender,quality_score,originality_score
"Uko na ubao? Kwa maana umenipoteza huku nimeanguka kwa upendo.",playful,kenyan,opening,initial,female,4.50,4.80
"Sio mkali, but ukinitazama hivyo, nitaanza kuchemka.",smooth,sheng,response,initial,female,4.70,4.50
"Unajua nini inanifanya nitabasamu? Notification kutoka kwako.",playful,kenyan,opening,initial,neutral,4.30,4.70
"Kama ni mbaya kuassume, then assume nikutake.",direct,sheng,opening,initial,female,4.00,4.90
"Hata kama sio programmer, najua you're my exception handler.",clever,mixed,opening,initial,female,4.20,4.60
"Uko single kama nilikuwa? Because hii connection ina ping poa.",playful,sheng,opening,initial,female,4.40,4.50
"Unajua kuskiza voicemail yako ni kama kunywa stoney mchana joto.",smooth,kenyan,response,middle,female,4.60,4.80
"Kama ni kukosa direction, ningekuuliza location yako.",cheesy,kenyan,opening,initial,female,3.80,4.20
"Hata ukiniignore, bado nitaendelea kuku-slide kwenye DMs.",bold,sheng,followup,middle,female,4.10,4.30
"Wewe ni kama Thika Road - nimekuwa stuck kwako kwa masaa.",funny,kenyan,opening,initial,female,4.30,4.70
"Unaitwa nini? Ata nikiita support, system inasema you're my missing component.",clever,mixed,opening,initial,female,4.50,4.80
"Kama unataka kunitest, basi niku-test mwenyewe.",direct,sheng,response,advanced,female,4.20,4.40
"Nimeku-search Google, YouTube, na hata Jumia, but haukupatikani.",playful,kenyan,opening,initial,female,4.40,4.60
"Hata ukini-block, bado nita-request kufollow tena.",bold,sheng,followup,middle,female,3.90,4.50
"Unajua unaweza kuwa na million followers, but I'll be your one like.",romantic,mixed,response,middle,female,4.60,4.30
"Kama ni kukosa credit, ningeku-send airtime daily.",cheesy,kenyan,opening,initial,female,3.70,4.00
"Wewe ni kama Safaricom - The better option.",smooth,kenyan,compliment,initial,female,4.30,4.50
"Nimeku-add kwa contacts, now you're my favorite person.",playful,mixed,followup,middle,neutral,4.10,4.20
"Ukinitaka niku-screenshot, because you're worth saving.",romantic,mixed,response,middle,female,4.50,4.40
"Kama unajua kunyimwa lift, hio ndio nafsi yangu right now.",funny,sheng,opening,initial,female,4.00,4.60
"Nimeku-save kwa speed dial, because emergencies happen.",playful,mixed,response,middle,female,4.20,4.30
"Uko na WiFi? Kwa maana sina connection mingine.",cheesy,kenyan,opening,initial,female,3.80,4.10
"Nimeku-favorite kama WhatsApp message.",smooth,mixed,response,middle,female,4.30,4.20
"Ukinitaka niku-download, because offline is boring.",playful,mixed,followup,middle,female,4.10,4.40
"Wewe ni kama M-Pesa - convenient na reliable.",smooth,kenyan,compliment,initial,female,4.40,4.60
"Nimeku-bookmark kwa maana sikutaki kupotea.",romantic,mixed,response,middle,female,4.50,4.30
"Kama ni kukosa data, ningeku-stream offline.",cheesy,kenyan,opening,initial,female,3.60,4.00
"Wewe ni kama Uber - you take me places.",smooth,kenyan,compliment,initial,female,4.20,4.50
"Nimeku-star kama important email.",playful,mixed,response,middle,female,4.00,4.10
"Ukinitaka niku-sync, because being apart is outdated.",clever,mixed,followup,advanced,female,4.30,4.70
"Wewe ni kama Nairobi sun - impossible to ignore.",romantic,kenyan,compliment,initial,female,4.60,4.40
"Nimeku-pin kwa top conversations.",playful,mixed,response,middle,neutral,4.10,4.20
"Kama ni kukosa mboga, ningeku-pea kila siku.",cheesy,kenyan,opening,initial,female,3.50,4.10
"Wewe ni kama Kenyan tea - sweet na refreshing.",smooth,kenyan,compliment,initial,female,4.30,4.60
"Nimeku-mute the world, because your volume is enough.",romantic,mixed,response,advanced,female,4.70,4.50
"Ukinitaka niku-share, because you're too good to keep.",playful,mixed,followup,middle,female,4.20,4.30
"Wewe ni kama matatu ya Thika Road - always on my mind.",funny,kenyan,opening,initial,female,4.10,4.70
"Nimeku-save as draft, because perfection takes time.",smooth,mixed,response,middle,female,4.40,4.40
"Kama ni kukosa jiko, ningeku-cook with love.",cheesy,kenyan,opening,initial,female,3.40,4.00
"Wewe ni kama Kilimanjaro - breathtaking view.",romantic,kenyan,compliment,initial,female,4.80,4.30
"Nimeku-archive the rest, you're the only one I need.",romantic,mixed,response,advanced,female,4.60,4.40
