"Wewe ni kama simu ya mkononi - siku zote nimeweka karibu.",smooth,kenyan,opening,initial,female,manual_entry,4.2,0.71,0,0,1
"Hata kama ni mbali, najiskia kama uko karibu.",romantic,kenyan,response,middle,female,manual_entry,4.4,0.73,0,0,1
"Unajua nilikuwa na swali... lakini nilisahau nilipokuona.",playful,sheng,opening,initial,female,manual_entry,4.1,0.69,0,1,0
"Kama una nguvu kama ya KPLC, umenichaji.",clever,kenyan,opening,initial,female,manual_entry,4.0,0.68,0,0,0
"Nataka kukupa attention kama app notification - mara kwa mara.",playful,mixed,opening,initial,female,manual_entry,4.3,0.72,0,0,1
"Umejaa vibaya... vibaya vizuri.",smooth,sheng,compliment,initial,female,manual_entry,4.5,0.75,0,0,1
"Kama wewe ni dawa, basi mimi ni mgonjwa.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.62,0,0,0
"Nimekua nikidate wrong people, searching for version yako.",romantic,mixed,opening,initial,female,manual_entry,4.4,0.74,0,0,1
"Your vibe dey scatter my CPU.",playful,sheng,opening,initial,female,manual_entry,4.2,0.7,0,0,0
"Unajua hata Google hawezi kukupa definition ya beauty yako.",clever,mixed,compliment,initial,female,manual_entry,4.6,0.77,0,0,1
"Nimeku-bookmark kwenye maisha yangu.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.78,0,0,1
"Kama ni kukosa oxygen, ningekupa pumzi yangu.",cheesy,kenyan,opening,initial,female,manual_entry,3.7,0.6,0,0,0
"Wewe ni kama updated app - every version inakuwa better.",smooth,mixed,compliment,initial,female,manual_entry,4.4,0.74,0,0,1
"Your energy ni kama WiFi - inaweka everything online.",playful,sheng,response,middle,female,manual_entry,4.1,0.69,0,0,0
"Najiskia kama nimepata free data - unlimited joy.",funny,kenyan,response,initial,female,manual_entry,4.3,0.71,0,0,0
"Kama wewe ni dessert, basi mimi nimekosa main course.",cheesy,kenyan,opening,initial,female,manual_entry,3.9,0.63,0,0,0
"Your presence ni kama back-up generator - inanipatia power giza.",smooth,kenyan,compliment,middle,female,manual_entry,4.5,0.76,0,0,1
"Nimeku-add kwa WhatsApp status - permanent view.",romantic,mixed,response,advanced,female,manual_entry,4.6,0.77,0,0,1
"Unajua hata kama ni wrong number, bado ningeku-text.",bold,sheng,opening,initial,female,manual_entry,3.8,0.64,0,0,0
"Kama unataka kujua future, angalia macho yangu.",direct,sheng,response,middle,female,manual_entry,4.2,0.7,0,0,0
"Wewe ni kama morning alarm - unafanya niamke with a purpose.",smooth,kenyan,compliment,initial,female,manual_entry,4.3,0.72,0,0,1
"Nimeku-save kwenye memory card - no delete option.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.79,0,0,1
"Hata ukinitupa read receipt, bado nitaendelea ku-text.",bold,sheng,followup,middle,female,manual_entry,3.9,0.65,0,0,0
"Kama wewe ni song, basi mimi ni repeat button.",cheesy,kenyan,opening,initial,female,manual_entry,4.0,0.66,0,0,0
"Your vibe inafanya hata nyota zikae ground.",smooth,sheng,compliment,initial,female,manual_entry,4.4,0.73,0,0,1
"Nimeku-pin kwenye map - destination yangu.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.8,0,0,1
"Unajua hata kama ni spam, bado ningeku-open.",bold,sheng,response,middle,female,manual_entry,3.7,0.62,0,0,0
"Kama una GPS, nionyeshe njia ya kukufika.",playful,sheng,opening,initial,female,manual_entry,4.1,0.68,0,1,0
"Wewe ni kama fresh install - everything works perfectly.",smooth,mixed,compliment,initial,female,manual_entry,4.5,0.75,0,0,1
"Nimeku-set kama homepage - first thing ninaona.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.81,0,0,1
"Your energy ni kama charger - inanifanya nifanye kazi tena.",smooth,kenyan,response,middle,female,manual_entry,4.3,0.73,0,0,1
"Hata kama uta-offline, bado nitakuwa connected.",bold,sheng,followup,advanced,female,manual_entry,4.0,0.67,0,0,0
"Kama wewe ni book, basi nimekosa bookmark.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.61,0,0,0
"Your smile ni kama sunshine ya jioni - inatengeneza evening.",romantic,kenyan,compliment,initial,female,manual_entry,4.6,0.77,0,0,1
"Nimeku-sync kwenye cloud - accessible everywhere.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.78,0,0,1
"Unajua hata kama uta-airplane mode, bado nitakuwa signal.",bold,sheng,response,middle,female,manual_entry,3.9,0.66,0,0,0
"Kama una password, niku-access nini?",playful,sheng,opening,initial,female,manual_entry,4.2,0.69,0,1,0
"Wewe ni kama system update - unaboresha maisha yangu.",smooth,mixed,compliment,initial,female,manual_entry,4.4,0.74,0,0,1
"Nimeku-export to PDF - permanent format.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.82,0,0,1
"Your vibe ni kama festival - inafanya najisikia live.",smooth,sheng,response,middle,female,manual_entry,4.3,0.72,0,0,1
"Hata kama uta-deactivate account, bado nitajua wewe ni real.",bold,sheng,followup,advanced,female,manual_entry,4.1,0.68,0,0,0
"Kama wewe ni coffee, basi mimi ni sugar.",cheesy,kenyan,opening,initial,female,manual_entry,3.9,0.64,0,0,0
"Your energy inafanya hata calendar ifunge weekends only.",funny,sheng,compliment,initial,female,manual_entry,4.2,0.7,0,0,0
"Nimeku-upload kwenye mind yangu - downloading permanently.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.83,0,0,1
"Unajua hata kama uta-change number, bado nitakupata.",bold,sheng,response,middle,female,manual_entry,3.8,0.65,0,0,0
"Kama una fingerprint, nifanye unlock?",playful,sheng,opening,initial,female,manual_entry,4.3,0.71,0,1,0
"Wewe ni kama latest trend - everyone wants but only mimi nimeget.",smooth,kenyan,compliment,initial,female,manual_entry,4.5,0.76,0,0,1
"Nimeku-save as draft message - kila siku nakufanyia edit.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.79,0,0,1
"Your vibe ni kama radio - najikuta niki-tune in kila time.",smooth,sheng,response,middle,female,manual_entry,4.4,0.73,0,0,1
"Hata kama uta-mute story, bado nita-check profile.",bold,sheng,followup,middle,female,manual_entry,4.0,0.67,0,0,0
"Kama wewe ni playlist, basi mimi ni shuffle.",cheesy,kenyan,opening,initial,female,manual_entry,4.1,0.68,0,0,0
"Your energy inaingia kama network - full bars everywhere.",smooth,sheng,compliment,initial,female,manual_entry,4.5,0.75,0,0,1
"Nimeku-save kwenye gallery - private folder.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.81,0,0,1
"Unajua hata kama uta-hide online status, bado nitajua uko active.",bold,sheng,response,middle,female,manual_entry,3.9,0.66,0,0,0
"Kama una QR code, niscan nini?",playful,sheng,opening,initial,female,manual_entry,4.2,0.7,0,1,0
"Wewe ni kama software license - nimekupata legally.",smooth,mixed,compliment,initial,female,manual_entry,4.6,0.77,0,0,1
"Nimeku-archive old chats - you're the new conversation.",romantic,mixed,response,advanced,female,manual_entry,4.9,0.84,0,0,1
"Your vibe ni kama subscription - worth every penny.",smooth,sheng,response,middle,female,manual_entry,4.3,0.72,0,0,1
"Hata kama uta-clear chat, bado nita-remember messages.",bold,sheng,followup,advanced,female,manual_entry,4.1,0.69,0,0,0
"Kama wewe ni notification, basi mimi ni phone on loud.",cheesy,kenyan,opening,initial,female,manual_entry,4.0,0.67,0,0,0
"Your energy inafanya hata background ifanyike foreground.",smooth,sheng,compliment,initial,female,manual_entry,4.4,0.74,0,0,1
"Nimeku-bookmark browser - kila kitu ninafanya nakurudia.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.8,0,0,1
"Unajua hata kama uta-turn off location, bado nitakujua.",bold,sheng,response,middle,female,manual_entry,4.0,0.68,0,0,0
"Kama una biometric, niverify nini?",playful,sheng,opening,initial,female,manual_entry,4.3,0.71,0,1,0
"Wewe ni kame premium content - no ads, pure quality.",smooth,mixed,compliment,initial,female,manual_entry,4.5,0.76,0,0,1
"Nimeku-save as voice note - nakusikiliza repeatedly.",romantic,mixed,response,advanced,female,manual_entry,4.8,0.82,0,0,1
"Your vibe ni kame auto-correct - unafanya kila kitu kuwa right.",smooth,sheng,response,middle,female,manual_entry,4.4,0.73,0,0,1
"Hata kama uta-delete number, bado nita-save again.",bold,sheng,followup,advanced,female,manual_entry,4.2,0.7,0,0,0
"Kama wewe ni app, basi mimi ni phone memory.",cheesy,kenyan,opening,initial,female,manual_entry,4.1,0.69,0,0,0
