line_text,category,style,context,stage,target_gender,source_type,quality_score,success_rate,has_emoji,has_question,has_compliment
"Uko na ubao? Kwa maana umenipoteza huku nimeanguka kwa upendo.",playful,kenyan,opening,initial,female,manual_entry,4.5,0.7,0,1,1
"Sio mkali, but ukinitazama hivyo, nitaanza kuchemka.",smooth,sheng,response,initial,female,manual_entry,4.7,0.75,0,0,1
"Unajua nini inanifanya nitabasamu? Notification kutoka kwako.",playful,kenyan,opening,initial,neutral,manual_entry,4.3,0.8,0,1,0
"Kama ni mbaya kuassume, then assume nikutake.",direct,sheng,opening,initial,female,manual_entry,4.0,0.65,0,0,1
"Hata kama sio programmer, najua you're my exception handler.",clever,mixed,opening,initial,female,manual_entry,4.2,0.7,0,0,0
"Uko single kama nilikuwa? Because hii connection ina ping poa.",playful,sheng,opening,initial,female,manual_entry,4.4,0.75,0,1,0
"Unajua kuskiza voicemail yako ni kama kunywa stoney mchana joto.",smooth,kenyan,response,middle,female,manual_entry,4.6,0.8,0,0,1
"Kama ni kukosa direction, ningekuuliza location yako.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.6,0,0,0
"Hata ukiniignore, bado nitaendelea kuku-slide kwenye DMs.",bold,sheng,followup,middle,female,manual_entry,4.1,0.7,0,0,1
"Wewe ni kama Thika Road - nimekuwa stuck kwako kwa masaa.",funny,kenyan,opening,initial,female,manual_entry,4.3,0.72,0,0,0
"Unaitwa nini? Ata nikiita support, system inasema you're my missing component.",clever,mixed,opening,initial,female,manual_entry,4.5,0.78,0,1,1
"Kama unataka kunitest, basi niku-test mwenyewe.",direct,sheng,response,advanced,female,manual_entry,4.2,0.68,0,0,0
"Nimeku-search Google, YouTube, na hata Jumia, but haukupatikani.",playful,kenyan,opening,initial,female,manual_entry,4.4,0.74,0,0,1
"Hata ukini-block, bado nita-request kufollow tena.",bold,sheng,followup,middle,female,manual_entry,3.9,0.63,0,0,1
"Unajua unaweza kuwa na million followers, but I'll be your one like.",romantic,mixed,response,middle,female,manual_entry,4.6,0.77,0,0,1
"Kama ni kukosa credit, ningeku-send airtime daily.",cheesy,kenyan,opening,initial,female,manual_entry,3.7,0.58,0,0,0
"Wewe ni kama Safaricom - The better option.",smooth,kenyan,compliment,initial,female,manual_entry,4.3,0.71,0,0,1
"Nimeku-add kwa contacts, now you're my favorite person.",playful,mixed,followup,middle,neutral,manual_entry,4.1,0.69,0,0,1
"Ukinitaka niku-screenshot, because you're worth saving.",romantic,mixed,response,middle,female,manual_entry,4.5,0.76,0,0,1
"Kama unajua kunyimwa lift, hio ndio nafsi yangu right now.",funny,sheng,opening,initial,female,manual_entry,4.0,0.7,0,0,0
"Nimeku-save kwa speed dial, because emergencies happen.",playful,mixed,response,middle,female,manual_entry,4.2,0.72,0,0,0
"Uko na WiFi? Kwa maana sina connection mingine.",cheesy,kenyan,opening,initial,female,manual_entry,3.8,0.61,0,1,0
"Nimeku-favorite kama WhatsApp message.",smooth,mixed,response,middle,female,manual_entry,4.3,0.73,0,0,1
"Ukinitaka niku-download, because offline is boring.",playful,mixed,followup,middle,female,manual_entry,4.1,0.68,0,0,0
"Wewe ni kama M-Pesa - convenient na reliable.",smooth,kenyan,compliment,initial,female,manual_entry,4.4,0.75,0,0,1
"Nimeku-bookmark kwa maana sikutaki kupotea.",romantic,mixed,response,middle,female,manual_entry,4.5,0.77,0,0,1
"Kama ni kukosa data, ningeku-stream offline.",cheesy,kenyan,opening,initial,female,manual_entry,3.6,0.59,0,0,0
"Wewe ni kama Uber - you take me places.",smooth,kenyan,compliment,initial,female,manual_entry,4.2,0.7,0,0,1
"Nimeku-star kama important email.",playful,mixed,response,middle,female,manual_entry,4.0,0.67,0,0,0
"Ukinitaka niku-sync, because being apart is outdated.",clever,mixed,followup,advanced,female,manual_entry,4.3,0.72,0,0,1
"Wewe ni kama Nairobi sun - impossible to ignore.",romantic,kenyan,compliment,initial,female,manual_entry,4.6,0.78,0,0,1
"Nimeku-pin kwa top conversations.",playful,mixed,response,middle,neutral,manual_entry,4.1,0.69,0,0,0
"Kama ni kukosa mboga, ningeku-pea kila siku.",cheesy,kenyan,opening,initial,female,manual_entry,3.5,0.57,0,0,0
"Wewe ni kama Kenyan tea - sweet na refreshing.",smooth,kenyan,compliment,initial,female,manual_entry,4.3,0.74,0,0,1
"Nimeku-mute the world, because your volume is enough.",romantic,mixed,response,advanced,female,manual_entry,4.7,0.79,0,0,1
"Ukinitaka niku-share, because you're too good to keep.",playful,mixed,followup,middle,female,manual_entry,4.2,0.7,0,0,1
"Wewe ni kama matatu ya Thika Road - always on my mind.",funny,kenyan,opening,initial,female,manual_entry,4.1,0.71,0,0,0
"Nimeku-save as draft, because perfection takes time.",smooth,mixed,response,middle,female,manual_entry,4.4,0.75,0,0,1
"Kama ni kukosa jiko, ningeku-cook with love.",cheesy,kenyan,opening,initial,female,manual_entry,3.4,0.56,0,0,0
"Wewe ni kama Kilimanjaro - breathtaking view.",romantic,kenyan,compliment,initial,female,manual_entry,4.8,0.8,0,0,1
"Nimeku-archive the rest, you're the only one I need.",romantic,mixed,response,advanced,female,manual_entry,4.6,0.77,0,0,1
"Sema ukinitaka ni-kujoin group ya wewe na mimi.",direct,sheng,opening,initial,female,manual_entry,4.0,0.66,0,0,0
"Wapi nimekosea? Maana nimekosa mwezi mzima.",playful,swahili,opening,initial,female,manual_entry,4.2,0.7,0,1,0
"Unajua hata simu inakata, lakini mazungumzo yetu hayakati.",romantic,swahili,followup,middle,neutral,manual_entry,4.5,0.76,0,0,0
